age,gender,education,MCQ_feelings,MCQ_cat,MCQ_cat_TOM,MCQ_cat_GD,MCQ_cat_RND,metaD,metaR,metaP,BCIS,IQ,AQ10,AQ10_AD,AQ10_AS,AQ10_C,AQ10_S,AQ10_I,RAADS,RAADS_MENTA,RAADS_SOA,RAADS_SOR
23,1,4,6,12,4,4,4,1.7757929979,0.890581602481475,1.99396999999982,16,12,7,1,0,2,2,2,18,7,8,3
19,0,2,3,10,4,3,3,1.35163403374333,1.40867112770408,0.959509999999972,21,4,8,1,2,2,1,2,27,15,6,6
28,1,3,7,11,4,3,3,1.024167889435,0.569672097003591,1.7978199999998,16,9,10,2,2,2,2,2,18,8,7,3
21,0,2,6,9,3,2,2,-0.124252291321957,-0.109907203164878,1.13052000000009,17,11,8,2,1,2,1,2,24,13,8,3
24,1,4,6,12,4,4,4,1.21732634591,0.591161827064745,2.05920999999972,20,6,7,1,1,2,1,2,29,16,6,7
35,1,5,5,10,4,4,4,0.444018438444481,0.365327002175811,1.21539999999975,18,10,8,1,1,2,2,2,40,17,13,10
31,0,4,3,11,4,4,4,0.881029038449567,0.694259380033067,1.26901999999984,25,4,4,1,1,1,0,1,25,12,8,5
36,1,4,5,12,4,4,4,2.28505303766667,1.51962029504999,1.50369999999976,15,13,9,1,2,2,2,2,14,7,4,3
31,1,3,1,7,2,2,2,0.45067164235398,0.26048727673615,1.73011000000032,22,7,7,1,0,2,2,2,28,13,10,5
23,0,5,2,12,4,4,4,0.7248538829655,0.679427369069519,1.06686000000013,15,6,5,1,0,2,1,1,32,10,13,9
21,0,3,5,11,4,3,3,0.760340855474234,0.851902482377708,0.892520999999917,28,11,8,0,2,2,2,2,38,20,12,6
21,0,3,3,10,2,4,4,1.01729722016667,0.76176361538557,1.33545000000007,20,8,7,1,2,2,1,1,23,13,4,6
22,0,2,8,11,4,3,3,0.672051325697199,0.395382453712128,1.69974999999985,24,9,8,1,2,2,1,2,25,15,5,5
18,1,2,4,6,2,0,0,1.23707498589167,0.754847932617994,1.63883999999973,24,2,8,1,1,2,2,2,25,10,5,10
27,0,4,2,8,2,3,3,0.629667330837875,0.467375768859207,1.3472399999997,22,5,7,2,0,2,1,2,37,13,16,8
20,1,2,2,10,3,3,3,2.08898456856666,0.920987817902596,2.26819999999985,20,9,6,1,1,1,1,2,14,7,4,3
32,0,4,2,10,3,3,3,0.695884636483841,0.441394324658647,1.57655999999987,15,9,8,2,1,2,2,1,30,13,8,9
25,0,5,0,3,1,1,1,1.05625159266067,0.763562727829186,1.38332000000029,22,4,8,0,2,2,2,2,23,13,6,4
37,1,3,4,11,3,4,4,0.894989243787335,0.565357533740143,1.58304999999972,22,7,6,1,1,1,1,2,45,20,13,12
27,1,4,7,8,4,1,1,1.49051545326667,1.17752840359193,1.26579999999978,21,10,5,0,0,2,2,1,33,16,8,9
19,0,2,7,10,4,3,3,0.660060185729301,0.508086448206312,1.29910999999994,18,8,6,0,2,1,2,1,35,16,10,9
55,0,2,5,12,4,4,4,0.780685723522444,0.667224241290919,1.17005000000011,15,10,8,1,2,2,1,2,22,11,5,6
27,0,5,5,11,4,3,3,0.724105984398467,0.431238786989966,1.67913000000033,22,13,3,0,1,1,1,0,32,19,8,5
21,1,4,4,8,3,2,2,1.04649828096022,0.940174002964919,1.11309000000011,23,9,3,0,1,1,1,0,32,19,4,9
21,1,3,4,11,4,4,4,1.64970846236667,1.02010800361532,1.61719000000039,12,10,4,0,0,1,2,1,30,16,11,3
20,0,3,1,4,4,0,0,-0.177886944990493,-0.193592525833813,0.918872999999912,16,1,5,1,2,2,0,0,39,21,10,8
36,0,5,0,6,1,1,1,0.528697835868766,0.415169685396962,1.27345000000013,15,3,8,2,2,2,1,1,27,15,7,5
42,0,3,6,9,4,2,2,0.492898028956105,0.448741832625733,1.09840000000012,22,8,10,2,2,2,2,2,31,14,8,9
26,1,4,6,12,4,4,4,1.08088631307767,0.71164314886011,1.51886000000011,15,14,5,0,1,1,1,2,33,16,10,7
43,0,3,3,10,4,2,2,0.899470069592668,0.820504697504803,1.09624000000012,20,9,8,1,2,1,2,2,20,12,5,3
